Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
5,france,20010126,20030217,27.26,1,14,200,0.01,1,4,0.5,0.5,0.002583814,263746.1693,0.377752543,0,100,879,38.9508914,14,0,0
1,france,20010126,20030217,27.26,2,14,200,0.01,1,4,0.5,0.5,0.004549736,520220.0693,0.570494112,0,100,868,28.4212957,14,0,0
2,france,20010126,20030217,27.26,2,14,200,0.01,1,4,0.5,0.5,0.004549707,520218.07,0.570495763,0,100,847,6.9278722,14,0,0
3,france,20010126,20030217,27.26,2,14,200,0.01,1,4,0.5,0.5,0.004549717,520218.7936,0.570495165,0,100,879,38.9586255,14,0,0
4,france,20010126,20030217,27.26,2,14,200,0.01,1,4,0.5,0.5,0.004549711,520218.3412,0.570495539,0,100,832,52.14152,13,0,0
5,france,20010126,20030217,27.26,2,14,200,0.01,1,4,0.5,0.5,0.004549769,520222.3332,0.570492243,0,100,818,38.021302,13,0,0
1,france,20010126,20030217,27.26,3,14,200,0.01,1,4,0.5,0.5,0.007522969,835047.4518,0.634668496,0,100,1196,56.2231227,19,0,0
2,france,20010126,20030217,27.26,3,14,200,0.01,1,4,0.5,0.5,0.007522925,835044.9861,0.634669575,0,100,1219,19.3599426,20,0,0
3,france,20010126,20030217,27.26,3,14,200,0.01,1,4,0.5,0.5,0.00752295,835046.5241,0.634668902,0,100,1201,0.7019934,20,0,0
4,france,20010126,20030217,27.26,3,14,200,0.01,1,4,0.5,0.5,0.007522969,835047.4666,0.63466849,0,100,1256,55.8378713,20,0,0
5,france,20010126,20030217,27.26,3,14,200,0.01,1,4,0.5,0.5,0.007522925,835044.9861,0.634669575,0,100,1208,7.7410017,20,0,0
1,france,20010126,20030217,27.26,4,14,200,0.01,1,4,0.5,0.5,0.012837472,2.11E+06,0.796148066,0,100,1802,1.8860384,30,0,0
