Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
2,france,20210328,20211024,18.57,9,14,200,0.01,1,4,0.5,0.5,0.322131503,37416.22703,0.844221623,0,100,101,40.959642,1,0,0
3,france,20210328,20211024,18.57,9,14,200,0.01,1,4,0.5,0.5,0.322788856,37465.10795,0.844018113,0,100,98,38.1728789,1,0,0
4,france,20210328,20211024,18.57,9,14,200,0.01,1,4,0.5,0.5,0.350436932,37475.70226,0.843974005,0,100,98,38.0987675,1,0,0
5,france,20210328,20211024,18.57,9,14,200,0.01,1,4,0.5,0.5,0.343999019,37548.03868,0.84367284,0,100,99,38.7893096,1,0,0
1,france,20210328,20211024,18.57,10,14,200,0.01,1,4,0.5,0.5,0.358505367,24017.88516,0.871251411,0,100,91,31.2625732,1,0,0
2,france,20210328,20211024,18.57,10,14,200,0.01,1,4,0.5,0.5,0.342293283,24100.05001,0.870810964,0,100,86,26.4854142,1,0,0
3,france,20210328,20211024,18.57,10,14,200,0.01,1,4,0.5,0.5,0.355122931,24029.60471,0.871188588,0,100,91,31.4257096,1,0,0
4,france,20210328,20211024,18.57,10,14,200,0.01,1,4,0.5,0.5,0.341568655,24027.7834,0.871198352,0,100,92,31.612518,1,0,0
5,france,20210328,20211024,18.57,10,14,200,0.01,1,4,0.5,0.5,0.366852235,24161.40968,0.870482044,0,100,85,25.2607475,1,0,0
1,france,20210328,20210223,26.63,1,14,200,0.01,1,4,0.5,0.5,0.015737102,11319.53527,0.668931001,0,100,205,25.1546767,3,0,0
2,france,20210328,20210223,26.63,1,14,200,0.01,1,4,0.5,0.5,0.015603798,11336.95262,0.668421586,0,100,205,24.9593042,3,0,0
3,france,20210328,20210223,26.63,1,14,200,0.01,1,4,0.5,0.5,0.015549508,11297.38966,0.669578707,0,100,202,22.0634771,3,0,0
4,france,20210328,20210223,26.63,1,14,200,0.01,1,4,0.5,0.5,0.015669987,11318.0352,0.668974875,0,100,192,12.1953691,3,0,0
5,france,20210328,20210223,26.63,1,14,200,0.01,1,4,0.5,0.5,0.015946268,11354.12195,0.667919425,0,100,197,17.3515357,3,0,0
1,france,20210328,20210223,26.63,2,14,200,0.01,1,4,0.5,0.5,0.017466484,12867.49553,0.733413014,0,100,148,27.5718648,2,0,0
2,france,20210328,20210223,26.63,2,14,200,0.01,1,4,0.5,0.5,0.017725475,12920.46105,0.732315682,0,100,157,37.2754199,2,0,0
3,france,20210328,20210223,26.63,2,14,200,0.01,1,4,0.5,0.5,0.017070431,12814.91224,0.734502428,0,100,150,30.1716957,2,0,0
